species,name
N2,N2
O2,O2(6)
fuel,C5H8(522)
CO,CO(12)
CO2,CO2(13)
CH4,CH4(33)
H2,H2(2)
oxygen,O2(6)
ethene,C2H4(52)
formaldehyde,CH2O(19)
propene,C3H6(131)
water,H2O(5)
propadiene (allene),C3H4(114)
acetaldehyde,CH3CHO(41)
"1,3-butadiene",C4H6(227)
1-butene,C4H8(253)
acrolein,C3H4O(165)
propanal,C3H6O(126)
furan,S(1600)
cyclopentadiene,C5H6(478)
cyclopentene,C5H8(522)
cyclopentane,CPT(563)
crotonaldehyde (trans),C4H6O(357)
crotonaldehyde (cis),C4H6O(357)
benzene,C6H6(970)
"1,2-epoxycyclopentane",C5H8O(825)
toluene,C7H8(1006)
cyclopentanone,CPN(801)
cyclopent-2-enone,CPND2(626)
3-methylfuran,S(1657)
cyclopent-3-enone,CPND3(628)
